Community_ID,Community_Name,State,Country,Population,Population_Density,Average_Monthly_Waste_Generated_Tons,Waste_Collection_Frequency_Per_Week,Illegal_Dumping_Reports,Blocked_Drainage_Incidents,Flood_Incidents_Last_Year,Distance_To_Waste_Disposal_Site_KM,Environmental_Complaints,Sanitation_Awareness_Score,Waste_Recycling_Rate,Economic_Status_Index,Infrastructure_Quality_Score,Year_Data_Collected,Risk_Level,Hotspot_Status,Risk_Score _Original,EcoTrack_Risk_Category_Original,Risk_Score_Corrected,EcoTrack_Risk_Category_Corrected,Date,Early_Warning_Flag,Collection_Gap_Flag,Disposal_Acess_Flag
1,New Market 51,Kaduna,Nigeria,27441,243,7.59,1,15,6,3,61.9,36,29,12,2,45,2024,High,Yes,12.9,Medium Risk,0.534690295,Medium,13/11/2024,Stable,Adequate,Standard
2,East Estate 4,Borno,Nigeria,33979,134,10.63,1,20,8,7,22.9,61,12,11,3,35,2024,High,Yes,19.9,High Risk,0.847021271,Critical,4/3/2024,Stable,Adequate,Standard
3,New Village 81,Enugu,Nigeria,21576,276,5.24,1,19,8,4,32.9,43,20,21,3,55,2023,High,Yes,16.1,High Risk,0.690685459,High,11/6/2023,Stable,Adequate,Standard
4,East Gate 15,Akwa Ibom,Nigeria,55212,277,13.37,2,10,4,3,72.7,27,51,19,5,52,2024,Medium,No,9.3,Medium Risk,0.389464583,Low,3/2/2024,Stable,Adequate,Standard
5,North Village 128,Imo,Nigeria,52736,83,18.46,1,17,7,5,20,49,17,30,4,50,2024,High,Yes,16.3,High Risk,0.684562877,High,9/5/2024,Stable,Underserved,Standard
6,Old Park 130,Imo,Nigeria,30631,112,7.55,1,13,9,4,30.9,36,43,13,1,50,2022,High,Yes,13.2,Medium Risk,0.603687331,Medium,26/03/2022,Stable,Adequate,Standard
7,West Market 139,Kano,Nigeria,65319,189,27.21,1,15,7,3,79.1,30,41,10,5,50,2024,High,Yes,12.25,Medium Risk,0.541628094,Medium,13/05/2024,Stable,Underserved,Standard
8,New Area 60,Lagos,Nigeria,60692,325,15.86,1,10,5,3,25.9,44,10,42,6,80,2024,High,Yes,12.1,Medium Risk,0.456928698,Low,4/8/2024,Stable,Underserved,Standard
9,Old Gate 68,Lagos,Nigeria,34037,585,12.58,2,7,3,2,21.1,26,51,34,3,80,2024,Medium,No,7.6,Medium Risk,0.287203557,Low,10/4/2024,Stable,Adequate,Standard
10,North Quarter 61,Lagos,Nigeria,35464,519,10.15,2,13,5,3,29.5,39,25,31,1,80,2024,High,Yes,12.4,Medium Risk,0.489422977,Low,5/6/2024,Stable,Adequate,Standard
11,North Village 104,Kano,Nigeria,23721,182,7.68,1,17,8,2,52.2,34,15,18,1,50,2023,High,Yes,13.55,Medium Risk,0.574066466,Medium,13/09/2023,Stable,Adequate,Standard
